"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://alkonorm.ru/","1","Пьёте больше, чем хотите — но бросать не планируете? КУ — система личных норм и учёта. Программа 7 шагов, форум поддержки, практические статьи. Без осуждения.","158","1116","Indexable",""
"https://alkonorm.ru/articles/uchet-epizodov-ku.html","1","Три уровня плана КУ (стратегия, месячный план, тактика) и принципы анализа каждого эпизода. Малодозное употребление как инструмент — из книги «На краю Синей Бездны»","164","1174","Indexable",""
"https://alkonorm.ru/articles/kniga-ku.html","1","Книга о том, как вернуть управляемость употреблению алкоголя без рехабов и докторов. Практическое руководство по системе КУ. Выход — июнь 2026.","143","1017","Indexable",""
"https://alkonorm.ru/articles/7-shagov-ku.html","1","Программа 7 шагов КУ: от решения изменить отношение к алкоголю до устойчивого результата. Стратегия, личные нормы, учёт и разбор сбоев — всё пошагово.","150","1063","Indexable",""
"https://alkonorm.ru/articles/soobschestvo.html","1","КУфорум — сообщество людей, которые выбрали стратегию контроля алкоголя. Горизонтальная поддержка, Канон, марафон и открытые дискуссии без осуждения.","149","1094","Indexable",""
"https://alkonorm.ru/articles/chto-takoe-ku.html","1","Контролируемое употребление алкоголя (КУ) — система личных правил и учёта для тех, кто хочет пить меньше, но не бросать. Что это, кому подходит, цифры в ЛЧА, принципы и FAQ.","173","1206","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/","1","Как меньше пить: стратегии для тех, кто пьёт каждый вечер, срывается в компании или не может остановиться. Конкретные приёмы без полного отказа от алкоголя.","156","1100","Indexable",""
"https://alkonorm.ru/articles/kak-menshe-pit/alkogol-v-kompanii.html","1","Можно ли пить алкоголь в компании и сохранять контроль? Почему люди пьют за компанию, как работает социальное давление и правильное употребление алкоголя с друзьями без похмелья.","178","1284","Indexable",""
"https://alkonorm.ru/articles/test-gotovnost-k-izmeneniyam.html","1","Скрининг-тест на готовность к изменениям в логике Шага 1 программы КУ. 12 вопросов, автоматический подсчёт баллов, интерпретация и анализ «красных зон».","152","1079","Indexable",""
"https://alkonorm.ru/articles/test-veroyatnost-ku.html","1","20 вопросов для оценки вероятности успешного контролируемого употребления алкоголя. Автоматический подсчёт с инверсией рисковых вопросов, интерпретация результата и анализ красных флагов.","187","1349","Indexable",""
"https://alkonorm.ru/articles/tablitsa-ucheta-ku.html","1","Как вести количественный и качественный учёт эпизодов употребления: Excel-таблица, мобильные приложения и колонка последствий — из книги «На краю Синей Бездны»","159","1144","Indexable",""
"https://alkonorm.ru/articles/uznaki-alkogolizma/test-audit.html","1","Тест AUDIT — 10 вопросов для выявления рискованного и вредного употребления алкоголя, а также вероятной алкогольной зависимости. Автоматический подсчёт с интерпретацией по 4 зонам риска с учётом пола.","200","1423","Indexable",""
